"ID","Role","SystemID","timestamp"
1890,Artwork,2,2021-03-05 17:27:45.000
1891,Φωτογραφίες παράστασης,2,2021-03-05 17:27:46.000
1892,Μουσική επιμέλεια-Στίχοι,2,2021-03-05 17:28:15.000
1893,Κάμερα/μοντάζ,2,2021-03-05 17:28:17.000
1894,Γραφιστικά,2,2021-03-05 17:28:20.000
1895,Διερμηνεία στη νοηματική,2,2021-03-05 17:28:22.000
1896,σκηνικό/κοστούμια,2,2021-03-05 17:28:35.000
1897,Βοηθός ενδυματολόγος,2,2021-03-05 17:29:05.000
1898,Κείμενο – Σκηνοθεσία,2,2023-09-25 13:21:50.000
1899,"Κινηματογραφική Σκηνοθεσία, Μοντάζ",2,2023-09-25 13:21:50.000
1900,Οπερατέρ,2,2023-09-25 13:21:50.000
1901,Colourist,2,2023-09-25 13:21:50.000
1902,Γραφιστική επιμέλεια,2,2023-09-25 13:21:50.000
1903,Παραστάσεις,2,2023-09-25 13:21:50.000
1904,Εισιτήρια,2,2021-03-05 17:29:32.000
1905,Διάρκεια,2,2021-03-05 17:29:33.000
1906,Σχεδιασμός μακιγιάζ,2,2021-03-05 17:29:44.000
1907,Σχεδιασμός κομμώσεων,2,2021-03-05 17:29:45.000
1908,Βίντεο,2,2021-03-05 17:29:46.000
1909,Βοηθός σκηνογράφου – ενδυματολόγου,2,2021-03-05 17:29:47.000
1910,Εκγύμναση ηθοποιών,2,2021-03-05 17:29:48.000
1911,Σκηνοθεσία- Φωτισμοί - Ερμηνεία,2,2021-03-05 17:30:01.000
1912,Μουσική σύνθεση,2,2021-03-05 17:30:02.000
1913,Μουσικός επί σκηνής,2,2021-03-05 17:30:02.000
1914,Σκηνική επιμέλεια,2,2021-03-05 17:30:03.000
1915,Κείμενο-στίχοι,2,2021-03-05 17:31:39.000
1916,Κατασκευές Μασκότ,2,2021-03-05 17:31:44.000
1917,Επικοινωνία – Δημόσιες Σχέσεις,2,2021-03-05 17:31:46.000
1918,Κίνηση - Χορογραφία,2,2021-03-05 17:32:12.000
1919,Σκηνοθεσία κινηματογραφικού μέρους,2,2021-03-05 17:32:13.000
1920,Βοηθός χορογράφου,2,2021-03-05 17:32:15.000
1921,Live streaming,2,2021-03-05 17:32:17.000
1922,Συντελεστές,2,2021-03-31 14:47:37.000
1923,Συγγραφέας του έργου «Ιστορία χωρίς Όνομα»,2,2021-03-31 14:47:38.000
